equipment_id,equipment_name,line,equipment_type,install_date,cumulative_hours,pm_cycle_days,last_pm_date,criticality
EQ-A01,CNC선반-A1,A라인,CNC선반,2018-03-15,12500,90,2024-01-15,A
EQ-A02,CNC선반-A2,A라인,CNC선반,2018-06-20,12100,90,2024-02-01,B
EQ-A03,밀링머신-A3,A라인,밀링머신,2019-01-10,10800,60,2024-01-20,A
EQ-A04,드릴프레스-A4,A라인,드릴프레스,2019-04-05,10200,120,2023-12-10,C
EQ-B01,CNC선반-B1,B라인,CNC선반,2021-07-01,5800,90,2024-02-15,B
EQ-B02,CNC선반-B2,B라인,CNC선반,2021-09-15,5500,90,2024-02-20,B
EQ-B03,밀링머신-B3,B라인,밀링머신,2022-02-10,4200,60,2024-03-01,A
EQ-B04,드릴프레스-B4,B라인,드릴프레스,2022-05-20,3900,120,2024-01-25,C
EQ-C01,CNC선반-C1,C라인,CNC선반,2020-01-15,8500,90,2024-01-10,B
EQ-C02,CNC선반-C2,C라인,CNC선반,2020-04-10,8200,90,2024-02-05,A
EQ-C03,밀링머신-C3,C라인,밀링머신,2020-08-25,7100,60,2024-02-10,B
EQ-C04,드릴프레스-C4,C라인,드릴프레스,2020-11-30,6800,120,2024-01-05,C
