maintenance_id,date,equipment_id,maintenance_type,description,cause,duration_hours,cost_won,parts_replaced,technician_id
MT-00001,2024-01-01,EQ-A02,INS,주간점검 - 일상점검,일상점검,1.0,14000,,TECH-08
MT-00002,2024-01-01,EQ-B01,INS,주간점검 - 진동측정,진동측정,1.0,24000,,TECH-01
MT-00003,2024-01-01,EQ-C01,INS,주간점검 - 온도측정,온도측정,2.0,42000,,TECH-07
MT-00004,2024-01-03,EQ-C02,BM,사후보전 - 소모품교체,소모품교체,3.0,105000,베어링,TECH-07
MT-00005,2024-01-04,EQ-C03,CM,고장수리 - 모터과열,모터과열,46.0,1237000,,TECH-04
MT-00006,2024-01-05,EQ-C03,BM,사후보전 - 소모품교체,소모품교체,1.0,76000,베어링,TECH-01
MT-00007,2024-01-08,EQ-A03,INS,주간점검 - 일상점검,일상점검,1.0,33000,,TECH-02
MT-00008,2024-01-08,EQ-B02,INS,주간점검 - 진동측정,진동측정,1.0,34000,,TECH-04
MT-00009,2024-01-08,EQ-B03,INS,주간점검 - 일상점검,일상점검,2.0,35000,,TECH-04
MT-00010,2024-01-08,EQ-C01,INS,주간점검 - 전류측정,전류측정,1.0,22000,,TECH-08
MT-00011,2024-01-08,EQ-C02,INS,주간점검 - 온도측정,온도측정,2.0,28000,,TECH-01
MT-00012,2024-01-08,EQ-C03,INS,주간점검 - 일상점검,일상점검,2.0,18000,,TECH-04
MT-00013,2024-01-09,EQ-B02,BM,사후보전 - 볼트조임,볼트조임,2.0,65000,볼트,TECH-01
MT-00014,2024-01-13,EQ-B04,CM,고장수리 - 유압누유,유압누유,42.0,1613000,볼트,TECH-06
MT-00015,2024-01-15,EQ-A01,PM,예방정비 - 정기점검,정기점검,5.0,172000,냉각수,TECH-08
MT-00016,2024-01-15,EQ-A01,INS,주간점검 - 온도측정,온도측정,2.0,43000,,TECH-08
MT-00017,2024-01-15,EQ-A02,INS,주간점검 - 진동측정,진동측정,2.0,18000,,TECH-06
MT-00018,2024-01-15,EQ-A04,INS,주간점검 - 전류측정,전류측정,1.0,33000,,TECH-08
MT-00019,2024-01-15,EQ-B02,INS,주간점검 - 전류측정,전류측정,2.0,39000,,TECH-02
MT-00020,2024-01-15,EQ-B04,INS,주간점검 - 전류측정,전류측정,2.0,47000,,TECH-01
MT-00021,2024-01-15,EQ-C01,INS,주간점검 - 온도측정,온도측정,2.0,27000,,TECH-04
MT-00022,2024-01-16,EQ-A04,CM,고장수리 - 센서고장,센서고장,15.0,1423000,필터,TECH-05
MT-00023,2024-01-18,EQ-C02,BM,사후보전 - 청소,청소,1.0,68000,벨트,TECH-02
MT-00024,2024-01-20,EQ-A03,PM,예방정비 - 베어링교환,베어링교환,6.0,60000,필터,TECH-05
MT-00025,2024-01-22,EQ-A01,INS,주간점검 - 온도측정,온도측정,1.0,15000,,TECH-03
MT-00026,2024-01-22,EQ-A03,INS,주간점검 - 일상점검,일상점검,2.0,12000,,TECH-06
MT-00027,2024-01-22,EQ-A04,INS,주간점검 - 진동측정,진동측정,2.0,20000,,TECH-07
MT-00028,2024-01-22,EQ-A04,BM,사후보전 - 볼트조임,볼트조임,1.0,59000,벨트,TECH-01
