equipment_id,equipment_name,line,equipment_type,manufacturer,install_date,rated_capacity_per_hour
EQ-A01,CNC선반-A1,A라인,CNC선반,화낙,2018-03-15,120
EQ-A02,CNC선반-A2,A라인,CNC선반,화낙,2018-06-20,120
EQ-A03,밀링머신-A3,A라인,밀링머신,DMG모리,2019-01-10,80
EQ-A04,드릴프레스-A4,A라인,드릴프레스,브라더,2019-04-05,150
EQ-B01,CNC선반-B1,B라인,CNC선반,화낙,2021-07-01,130
EQ-B02,CNC선반-B2,B라인,CNC선반,마작,2021-09-15,130
EQ-B03,밀링머신-B3,B라인,밀링머신,DMG모리,2022-02-10,90
EQ-B04,드릴프레스-B4,B라인,드릴프레스,브라더,2022-05-20,160
EQ-C01,CNC선반-C1,C라인,CNC선반,두산,2020-01-15,125
EQ-C02,CNC선반-C2,C라인,CNC선반,두산,2020-04-10,125
EQ-C03,밀링머신-C3,C라인,밀링머신,DMG모리,2020-08-25,85
EQ-C04,드릴프레스-C4,C라인,드릴프레스,브라더,2020-11-30,155
EQ-D01,CNC선반-D1(신규),D라인(신규),CNC선반,화낙,2024-06-01,140
