downtime_id,date,equipment_id,shift,downtime_type,start_time,end_time,duration_min,cause,line
DT-00001,2024-01-01,EQ-A03,야간,소정지,2024-01-01 22:08,2024-01-01 22:18,10.0,,A라인
DT-00002,2024-01-02,EQ-A01,주간,설비고장,2024-01-02 09:24,2024-01-02 11:43,139.0,스핀들 이상,A라인
DT-00003,2024-01-02,EQ-A04,야간,설비고장,2024-01-02 00:45,2024-01-02 01:38,53.0,,A라인
DT-00004,2024-01-02,EQ-A04,야간,소정지,2024-01-02 03:19,2024-01-02 03:35,16.0,냉각수 부족,A라인
DT-00005,2024-01-02,EQ-C02,주간,셋업/조정,2024-01-02 15:36,2024-01-02 16:29,53.0,지그 교체,C라인
DT-00006,2024-01-03,EQ-A02,야간,설비고장,2024-01-03 23:29,2024-01-04 01:22,113.0,스핀들 이상,A라인
DT-00007,2024-01-03,EQ-A04,야간,셋업/조정,2024-01-03 01:14,2024-01-03 01:30,16.0,원점 재설정,A라인
DT-00008,2024-01-03,EQ-C02,야간,설비고장,2024-01-03 03:25,2024-01-03 06:04,159.0,센서 오작동,C라인
DT-00009,2024-01-03,EQ-C03,야간,설비고장,2024-01-03 03:29,2024-01-03 06:36,187.0,스핀들 이상,C라인
DT-00010,2024-01-04,EQ-A03,야간,소정지,2024-01-04 23:22,2024-01-04 23:30,8.0,칩 막힘,A라인
DT-00011,2024-01-04,EQ-A04,야간,소정지,2024-01-04 03:38,2024-01-04 03:52,14.0,,A라인
DT-00012,2024-01-04,EQ-B02,주간,소정지,2024-01-04 14:52,2024-01-04 14:59,7.0,냉각수 부족,B라인
DT-00013,2024-01-04,EQ-C01,야간,속도저하,2024-01-04 23:50,2024-01-05 00:54,64.0,공구 마모,C라인
DT-00014,2024-01-04,EQ-C04,야간,셋업/조정,2024-01-04 04:15,2024-01-04 04:58,43.0,원점 재설정,C라인
DT-00015,2024-01-05,EQ-A01,주간,소정지,2024-01-05 15:24,2024-01-05 15:30,6.0,냉각수 부족,A라인
DT-00016,2024-01-05,EQ-A01,야간,설비고장,2024-01-05 04:36,2024-01-05 05:13,37.0,베어링 마모,A라인
DT-00017,2024-01-05,EQ-A03,주간,속도저하,2024-01-05 10:42,2024-01-05 11:59,,프로그램 미최적화,A라인
DT-00018,2024-01-05,EQ-A03,야간,속도저하,2024-01-05 23:37,2024-01-06 00:39,62.0,프로그램 미최적화,A라인
DT-00019,2024-01-05,EQ-C04,주간,소정지,2024-01-05 15:11,2024-01-05 15:19,8.0,센서 오감지,C라인
DT-00020,2024-01-06,EQ-A03,주간,셋업/조정,2024-01-06 09:43,2024-01-06 10:07,24.0,원점 재설정,A라인
DT-00021,2024-01-06,EQ-B03,야간,초기불량,2024-01-06 05:41,2024-01-06 05:56,15.0,측정 오차,B라인
DT-00022,2024-01-08,EQ-A04,주간,속도저하,2024-01-08 10:56,2024-01-08 11:52,56.0,공구 마모,A라인
DT-00023,2024-01-08,EQ-A04,주간,소정지,2024-01-08 10:28,2024-01-08 10:40,12.0,칩 막힘,A라인
DT-00024,2024-01-08,EQ-C02,야간,소정지,2024-01-08 01:13,2024-01-08 01:28,15.0,공구 파손,C라인
